stn,wban,year,mo,da,temp,count_temp,dewp,count_dewp,slp,count_slp,stp,count_stp,visib,count_visib,wdsp,count_wdsp,mxpsd,gust,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
025160,99999,2010,05,05,47.2,11,36.4,11,1020.3,11,1018.0,11,29.1,11,9.0,11,15.5,999.9,49.5,42.3,0.0,0.0,0,0,0,0,0,0
724837,93216,2010,08,25,87.4,24,47.5,24,1008.4,24,1004.4,24,10.0,24,4.4,24,8.9,999.9,106.3,68.5,0.0,0.0,0,0,0,0,0,0
845010,99999,2010,11,01,61.7,24,56.5,24,1015.9,8,1013.2,8,4.6,24,6.8,24,11.1,999.9,67.5,59.0,0.0,0.0,0,0,0,0,0,0
722225,03855,2010,02,08,44.6,24,37.6,24,1018.1,23,1016.8,24,9.5,24,7.4,24,14.0,999.9,55.9,35.1,0.0,0.0,0,0,0,0,0,0
173200,99999,2010,04,24,70.1,5,49.6,5,1017.7,5,1017.2,5,12.4,5,4.2,5,7.0,999.9,77.7,53.8,0.0,0.0,0,0,0,0,0,0
108600,99999,2010,05,18,48.4,15,40.3,15,1025.2,10,981.2,10,11.7,15,8.2,15,11.1,20.0,51.8,46.2,0.0,0.0,0,1,0,0,0,0
718220,99999,2010,08,15,71.0,24,63.1,24,1009.9,24,964.8,4,13.6,24,9.1,24,15.0,22.0,80.6,66.2,0.0,0.0,0,0,0,0,0,0
080840,99999,2010,08,28,68.9,24,51.6,24,1021.3,13,979.2,13,8.4,24,6.0,24,11.1,19.0,77.5,61.2,0.0,0.0,0,0,0,0,0,0
475840,99999,2010,02,19,31.0,23,20.2,23,1014.1,23,994.6,23,10.4,7,4.7,23,8.9,999.9,41.2,25.2,0.02,0.0,0,0,0,0,0,0
484810,99999,2010,03,09,84.0,4,76.8,4,1013.4,4,1010.6,4,6.8,4,0.7,4,2.9,999.9,91.9,78.1,0.0,0.0,0,0,0,0,0,0
320990,99999,2010,02,16,-3.1,8,-9.4,8,1020.6,8,1019.8,8,12.4,8,6.1,8,9.7,999.9,3.7,-10.3,0.0,0.0,0,0,0,0,0,0
722037,92809,2010,02,18,55.2,24,38.5,24,1020.6,24,1020.3,24,10.0,24,6.8,24,13.0,17.1,64.9,46.0,0.0,0.0,0,0,0,0,0,0
727450,14913,2010,07,07,70.2,24,54.9,24,1017.5,24,966.8,24,10.0,24,3.2,24,7.0,999.9,82.0,57.9,0.0,0.0,0,0,0,0,0,0
723139,93729,2010,04,18,55.6,24,41.8,24,1014.0,24,1013.7,24,9.7,24,8.4,24,15.0,31.1,64.9,50.0,0.0,0.0,0,0,0,0,0,0
722050,12815,2010,10,08,70.7,24,54.8,24,1016.9,24,1013.3,24,10.0,24,2.7,24,8.9,999.9,86.0,55.9,0.0,0.0,0,0,0,0,0,0
724303,14813,2010,09,07,74.2,24,54.2,24,1015.8,24,976.8,24,10.0,24,10.7,24,22.0,32.1,91.0,63.0,0.0,0.0,0,1,0,0,1,0
591170,99999,2010,04,23,63.4,8,55.2,8,1019.4,8,1008.6,4,14.6,8,2.7,8,5.8,999.9,66.6,58.1,0.0,0.0,0,0,0,0,0,0
710680,99999,2010,08,01,64.0,24,53.7,24,1010.3,24,943.6,4,15.0,24,4.5,24,14.0,16.9,80.6,48.6,0.0,0.0,0,1,0,0,0,0
724235,13810,2010,12,10,40.6,24,21.5,24,1020.2,24,999.7,24,10.0,24,4.9,24,8.9,17.1,50.0,35.1,0.0,0.0,0,0,0,0,0,0
702740,25331,2010,11,16,18.3,24,7.3,24,1024.7,18,1015.4,24,7.6,24,12.5,24,35.9,52.1,21.9,6.8,0.0,0.0,1,0,1,0,0,0
483290,99999,2010,02,08,73.3,8,53.3,8,1011.3,8,977.3,8,3.1,8,0.0,8,999.9,999.9,93.4,55.4,0.0,0.0,0,0,0,0,0,0
949050,99999,2010,07,17,34.5,8,24.0,8,1024.6,8,873.5,8,4.8,4,6.6,8,9.9,999.9,48.2,20.7,0.0,0.0,0,0,0,0,0,0
477620,99999,2010,09,27,69.4,24,64.7,24,1013.1,24,1010.8,24,5.8,7,4.0,24,12.0,999.9,74.7,67.3,0.0,0.0,0,1,0,0,0,0
913760,40710,2010,04,20,83.5,24,76.2,24,1009.3,24,1009.0,24,15.0,24,9.6,24,15.0,999.9,88.2,80.6,0.0,0.0,0,0,0,0,0,0
012450,99999,2010,01,21,22.1,4,10.6,4,1034.0,4,958.1,4,17.1,4,6.8,4,9.7,999.9,23.7,20.8,0.0,8.7,0,0,0,0,0,0
309650,99999,2010,01,22,1.6,8,-5.9,8,1021.4,8,934.1,8,31.1,8,7.0,8,9.7,999.9,6.8,-11.4,0.0,3.5,0,0,0,0,0,0
073060,99999,2010,08,11,66.0,24,60.0,24,1016.6,24,1006.1,24,5.6,11,7.8,24,12.0,17.1,74.1,56.1,0.05,0.0,1,1,0,0,0,0
985530,99999,2010,07,02,83.0,8,78.2,8,1010.3,8,1009.9,8,12.0,8,3.2,8,9.7,999.9,90.1,75.2,0.0,0.0,0,0,0,0,0,0
484070,99999,2010,05,17,91.4,22,76.1,22,1007.0,8,993.2,8,5.8,22,2.6,22,5.1,999.9,101.3,75.7,0.0,0.0,0,0,0,0,0,0
228670,99999,2010,03,17,15.7,7,1.7,7,1003.1,7,991.4,7,23.1,7,3.9,7,7.8,999.9,26.1,-2.2,0.0,0.0,0,0,0,0,0,0
385450,99999,2010,03,23,47.9,8,31.4,8,1022.8,8,1005.3,8,12.4,8,3.9,8,5.8,999.9,60.4,34.3,0.0,0.0,0,0,0,0,0,0
912180,41414,2010,10,02,80.3,24,78.7,12,1008.3,24,987.9,24,10.0,24,6.4,24,9.9,999.9,86.0,75.2,0.07,0.0,0,1,0,0,0,0
726228,94740,2010,06,01,65.4,24,59.9,24,1008.3,17,949.3,24,6.8,24,4.2,24,9.9,15.9,75.9,59.0,0.04,0.0,0,1,0,0,0,0
251230,99999,2010,03,01,-36.7,8,-40.9,8,1025.1,8,1021.3,8,6.7,8,4.4,8,5.8,999.9,-30.6,-42.0,0.0,15.4,0,0,1,0,0,0
545390,99999,2010,09,04,73.6,8,64.4,8,1013.0,8,1011.6,4,12.4,8,2.4,8,5.8,999.9,81.1,67.3,0.0,0.0,0,0,0,0,0,0
152300,99999,2010,01,22,20.5,24,18.2,24,1027.0,24,995.8,24,4.2,24,2.1,24,3.9,7.8,48.6,14.0,0.0,0.8,0,0,0,0,0,0
724110,13741,2010,10,20,57.8,24,54.5,24,1012.4,17,970.9,24,7.9,24,3.3,24,8.9,999.9,71.1,53.1,0.39,0.0,0,1,0,0,0,0
476620,99999,2010,06,14,65.5,24,61.0,24,1011.8,24,1007.5,24,4.9,7,5.9,24,9.9,999.9,72.0,63.1,0.26,0.0,0,1,0,0,0,0
114060,99999,2010,10,29,40.5,24,34.8,24,1018.1,24,959.0,24,7.1,24,2.6,24,5.8,999.9,56.7,28.2,0.0,0.0,1,0,0,0,0,0
724838,93205,2010,03,20,59.0,24,44.7,24,1019.1,24,1016.5,24,9.5,24,4.2,24,8.0,999.9,78.1,43.0,0.0,0.0,0,0,0,0,0,0
076100,99999,2010,03,22,53.4,24,49.6,24,1022.1,16,1000.2,16,10.5,24,2.4,24,7.0,9.9,60.6,46.0,0.14,0.0,0,0,0,0,0,0
725462,14937,2010,05,03,57.8,24,44.5,24,1008.5,24,984.4,24,10.0,24,6.3,24,18.1,24.1,68.0,48.0,0.03,0.0,0,0,0,0,0,0
072350,99999,2010,07,09,81.2,24,63.4,24,1016.6,24,1010.7,24,12.7,24,4.1,24,11.1,17.1,93.6,71.1,0.0,0.0,0,0,0,0,0,0
144470,99999,2010,11,22,58.4,9,54.2,9,999.8,9,996.8,9,20.6,9,8.8,9,11.7,999.9,63.3,51.1,0.71,0.0,0,0,0,0,0,0
309650,99999,2010,06,04,63.3,8,45.8,8,1010.6,8,934.3,8,28.4,8,7.0,8,15.5,999.9,78.6,49.6,0.0,0.0,0,0,0,0,0,0
723147,53870,2010,01,03,23.2,24,4.8,24,1020.4,24,990.4,24,10.0,24,2.7,24,8.0,15.0,34.0,10.9,0.0,0.0,0,0,0,0,0,0
722820,03949,2010,02,25,39.7,24,26.9,24,1020.7,24,1007.2,24,10.0,24,2.3,24,8.9,999.9,57.9,27.0,0.09,0.0,0,0,0,0,0,0
516440,99999,2010,01,08,27.5,8,14.0,8,1023.5,8,893.5,4,12.4,8,3.2,8,5.8,999.9,39.0,18.0,0.0,0.0,0,0,0,0,0,0
106130,99999,2010,10,16,41.9,24,40.2,24,1012.2,15,954.1,15,5.1,24,7.3,24,13.0,999.9,46.8,37.4,0.0,0.0,0,1,0,0,0,0
224380,99999,2010,12,14,20.9,6,17.8,6,1027.9,6,1025.7,6,12.2,6,7.4,6,11.7,999.9,23.0,18.7,0.0,0.0,0,0,0,0,0,0
943840,99999,2010,08,13,61.2,5,44.9,5,1016.3,5,1010.8,5,27.3,5,9.5,5,9.9,999.9,67.5,56.3,0.0,0.0,0,0,0,0,0,0
614370,99999,2010,05,18,92.8,4,65.6,4,1013.3,4,999.8,4,3.4,4,9.5,4,14.0,999.9,103.1,72.9,0.0,0.0,0,0,0,0,0,0
